ctas,comm_sm_pct,ar_mib,m,nk,f_gemm,f_comm,iter_ms,energy_mj,base_energy_mj,base_iter_ms,base_clock,dE_vs_auto_pct,is_best_pair_for_workload,is_global_fixed_pair
2,1.9,64,2048,8192,300,705,5.7157,762.81,866.85,3.2780,1410,-12.00,False,False
2,1.9,64,2048,8192,300,900,4.6675,678.98,866.85,3.2780,1410,-21.67,False,False
2,1.9,64,2048,8192,300,1050,4.6675,652.51,866.85,3.2780,1410,-24.73,False,False
2,1.9,64,2048,8192,300,1200,4.6675,657.21,866.85,3.2780,1410,-24.18,False,False
2,1.9,64,2048,8192,300,1305,4.6675,633.46,866.85,3.2780,1410,-26.92,False,False
2,1.9,64,2048,8192,300,1410,4.6675,646.08,866.85,3.2780,1410,-25.47,False,False
2,1.9,64,2048,8192,510,300,12.5602,1322.77,866.85,3.2780,1410,+52.60,False,False
2,1.9,64,2048,8192,510,510,7.6145,915.99,866.85,3.2780,1410,+5.67,False,False
2,1.9,64,2048,8192,510,705,5.7157,759.22,866.85,3.2780,1410,-12.42,False,False
2,1.9,64,2048,8192,510,900,4.5848,669.34,866.85,3.2780,1410,-22.78,False,False
2,1.9,64,2048,8192,510,1050,3.9733,607.56,866.85,3.2780,1410,-29.91,False,False
2,1.9,64,2048,8192,510,1200,3.5238,586.21,866.85,3.2780,1410,-32.37,False,False
2,1.9,64,2048,8192,510,1305,3.2662,547.36,866.85,3.2780,1410,-36.86,False,False
2,1.9,64,2048,8192,510,1410,3.0485,547.12,866.85,3.2780,1410,-36.88,True,True
2,1.9,64,2048,8192,705,300,12.5602,1341.55,866.85,3.2780,1410,+54.76,False,False
2,1.9,64,2048,8192,705,510,7.6145,926.17,866.85,3.2780,1410,+6.84,False,False
2,1.9,64,2048,8192,705,705,5.7157,766.09,866.85,3.2780,1410,-11.62,False,False
2,1.9,64,2048,8192,705,900,4.5848,674.24,866.85,3.2780,1410,-22.22,False,False
2,1.9,64,2048,8192,705,1050,3.9733,611.39,866.85,3.2780,1410,-29.47,False,False
2,1.9,64,2048,8192,705,1200,3.5238,589.26,866.85,3.2780,1410,-32.02,False,False
2,1.9,64,2048,8192,705,1305,3.2662,549.96,866.85,3.2780,1410,-36.56,False,False
2,1.9,64,2048,8192,705,1410,3.0485,549.35,866.85,3.2780,1410,-36.63,False,False
2,1.9,64,2048,8192,900,300,12.5602,1367.50,866.85,3.2780,1410,+57.76,False,False
2,1.9,64,2048,8192,900,510,7.6145,942.50,866.85,3.2780,1410,+8.73,False,False
2,1.9,64,2048,8192,900,705,5.7157,778.73,866.85,3.2780,1410,-10.17,False,False
2,1.9,64,2048,8192,900,900,4.5848,684.69,866.85,3.2780,1410,-21.01,False,False
2,1.9,64,2048,8192,900,1050,3.9733,620.65,866.85,3.2780,1410,-28.40,False,False
2,1.9,64,2048,8192,900,1200,3.5238,597.64,866.85,3.2780,1410,-31.06,False,False
2,1.9,64,2048,8192,900,1305,3.2662,557.85,866.85,3.2780,1410,-35.65,False,False
2,1.9,64,2048,8192,900,1410,3.0485,556.81,866.85,3.2780,1410,-35.77,False,False
2,1.9,64,2048,8192,1050,300,12.5602,1421.06,866.85,3.2780,1410,+63.93,False,False
2,1.9,64,2048,8192,1050,510,7.6145,975.90,866.85,3.2780,1410,+12.58,False,False
2,1.9,64,2048,8192,1050,705,5.7157,804.40,866.85,3.2780,1410,-7.20,False,False
2,1.9,64,2048,8192,1050,900,4.5848,705.75,866.85,3.2780,1410,-18.58,False,False
2,1.9,64,2048,8192,1050,1050,3.9733,639.22,866.85,3.2780,1410,-26.26,False,False
2,1.9,64,2048,8192,1050,1200,3.5238,614.38,866.85,3.2780,1410,-29.12,False,False
2,1.9,64,2048,8192,1050,1305,3.2662,573.53,866.85,3.2780,1410,-33.84,False,False
2,1.9,64,2048,8192,1050,1410,3.0485,571.61,866.85,3.2780,1410,-34.06,False,False
2,1.9,64,2048,8192,1200,300,12.5602,1536.04,866.85,3.2780,1410,+77.20,False,False
2,1.9,64,2048,8192,1200,510,7.6145,1070.74,866.85,3.2780,1410,+23.52,False,False
2,1.9,64,2048,8192,1200,705,5.7157,891.50,866.85,3.2780,1410,+2.84,False,False
2,1.9,64,2048,8192,1200,900,4.5848,788.24,866.85,3.2780,1410,-9.07,False,False
2,1.9,64,2048,8192,1200,1050,3.9733,719.22,866.85,3.2780,1410,-17.03,False,False
2,1.9,64,2048,8192,1200,1200,3.5238,692.55,866.85,3.2780,1410,-20.11,False,False
2,1.9,64,2048,8192,1200,1305,3.2662,650.65,866.85,3.2780,1410,-24.94,False,False
2,1.9,64,2048,8192,1200,1410,3.0485,647.84,866.85,3.2780,1410,-25.26,False,False
2,1.9,64,4096,4096,300,300,12.5602,1186.11,632.66,3.2116,1410,+87.48,False,False
2,1.9,64,4096,4096,300,510,7.6145,785.33,632.66,3.2116,1410,+24.13,False,False
2,1.9,64,4096,4096,300,705,5.7157,630.86,632.66,3.2116,1410,-0.28,False,False
2,1.9,64,4096,4096,300,900,4.5848,542.36,632.66,3.2116,1410,-14.27,False,False
2,1.9,64,4096,4096,300,1050,3.9733,481.31,632.66,3.2116,1410,-23.92,False,False
2,1.9,64,4096,4096,300,1200,3.5238,460.51,632.66,3.2116,1410,-27.21,False,False
2,1.9,64,4096,4096,300,1305,3.2662,421.98,632.66,3.2116,1410,-33.30,False,False
2,1.9,64,4096,4096,300,1410,3.0485,422.00,632.66,3.2116,1410,-33.30,False,False
2,1.9,64,4096,4096,510,300,12.5602,1195.30,632.66,3.2116,1410,+88.93,False,False
2,1.9,64,4096,4096,510,510,7.6145,788.52,632.66,3.2116,1410,+24.64,False,False
2,1.9,64,4096,4096,510,705,5.7157,631.75,632.66,3.2116,1410,-0.14,False,False
2,1.9,64,4096,4096,510,900,4.5848,541.87,632.66,3.2116,1410,-14.35,False,False
2,1.9,64,4096,4096,510,1050,3.9733,480.08,632.66,3.2116,1410,-24.12,False,False
2,1.9,64,4096,4096,510,1200,3.5238,458.74,632.66,3.2116,1410,-27.49,False,False
2,1.9,64,4096,4096,510,1305,3.2662,419.89,632.66,3.2116,1410,-33.63,False,False
2,1.9,64,4096,4096,510,1410,3.0485,419.65,632.66,3.2116,1410,-33.67,True,True
2,1.9,64,4096,4096,705,300,12.5602,1215.70,632.66,3.2116,1410,+92.16,False,False
2,1.9,64,4096,4096,705,510,7.6145,800.31,632.66,3.2116,1410,+26.50,False,False
2,1.9,64,4096,4096,705,705,5.7157,640.23,632.66,3.2116,1410,+1.20,False,False
2,1.9,64,4096,4096,705,900,4.5848,548.38,632.66,3.2116,1410,-13.32,False,False
2,1.9,64,4096,4096,705,1050,3.9733,485.53,632.66,3.2116,1410,-23.26,False,False
2,1.9,64,4096,4096,705,1200,3.5238,463.40,632.66,3.2116,1410,-26.75,False,False
2,1.9,64,4096,4096,705,1305,3.2662,424.11,632.66,3.2116,1410,-32.96,False,False
2,1.9,64,4096,4096,705,1410,3.0485,423.49,632.66,3.2116,1410,-33.06,False,False
2,1.9,64,4096,4096,900,300,12.5602,1240.59,632.66,3.2116,1410,+96.09,False,False
2,1.9,64,4096,4096,900,510,7.6145,815.59,632.66,3.2116,1410,+28.92,False,False
2,1.9,64,4096,4096,900,705,5.7157,651.82,632.66,3.2116,1410,+3.03,False,False
2,1.9,64,4096,4096,900,900,4.5848,557.78,632.66,3.2116,1410,-11.84,False,False
2,1.9,64,4096,4096,900,1050,3.9733,493.74,632.66,3.2116,1410,-21.96,False,False
2,1.9,64,4096,4096,900,1200,3.5238,470.73,632.66,3.2116,1410,-25.59,False,False
2,1.9,64,4096,4096,900,1305,3.2662,430.94,632.66,3.2116,1410,-31.88,False,False
2,1.9,64,4096,4096,900,1410,3.0485,429.90,632.66,3.2116,1410,-32.05,False,False
2,1.9,64,4096,4096,1050,300,12.5602,1292.80,632.66,3.2116,1410,+104.34,False,False
2,1.9,64,4096,4096,1050,510,7.6145,847.65,632.66,3.2116,1410,+33.98,False,False
2,1.9,64,4096,4096,1050,705,5.7157,676.14,632.66,3.2116,1410,+6.87,False,False
2,1.9,64,4096,4096,1050,900,4.5848,577.49,632.66,3.2116,1410,-8.72,False,False
2,1.9,64,4096,4096,1050,1050,3.9733,510.96,632.66,3.2116,1410,-19.24,False,False
2,1.9,64,4096,4096,1050,1200,3.5238,486.12,632.66,3.2116,1410,-23.16,False,False
2,1.9,64,4096,4096,1050,1305,3.2662,445.28,632.66,3.2116,1410,-29.62,False,False
2,1.9,64,4096,4096,1050,1410,3.0485,443.35,632.66,3.2116,1410,-29.92,False,False
2,1.9,64,4096,4096,1200,300,12.5602,1376.70,632.66,3.2116,1410,+117.61,False,False
2,1.9,64,4096,4096,1200,510,7.6145,911.40,632.66,3.2116,1410,+44.06,False,False
2,1.9,64,4096,4096,1200,705,5.7157,732.15,632.66,3.2116,1410,+15.73,False,False
2,1.9,64,4096,4096,1200,900,4.5848,628.90,632.66,3.2116,1410,-0.59,False,False
2,1.9,64,4096,4096,1200,1050,3.9733,559.87,632.66,3.2116,1410,-11.50,False,False
2,1.9,64,4096,4096,1200,1200,3.5238,533.21,632.66,3.2116,1410,-15.72,False,False
2,1.9,64,4096,4096,1200,1305,3.2662,491.31,632.66,3.2116,1410,-22.34,False,False
2,1.9,64,4096,4096,1200,1410,3.0485,488.50,632.66,3.2116,1410,-22.79,False,False
2,1.9,64,8192,8192,300,300,18.2461,2449.16,1884.15,4.6968,1155,+29.99,False,False
2,1.9,64,8192,8192,300,510,17.9858,2312.72,1884.15,4.6968,1155,+22.75,False,False
2,1.9,64,8192,8192,300,705,17.8859,2260.09,1884.15,4.6968,1155,+19.95,False,False
2,1.9,64,8192,8192,300,900,17.8263,2232.51,1884.15,4.6968,1155,+18.49,False,False
2,1.9,64,8192,8192,300,1050,17.7942,2205.24,1884.15,4.6968,1155,+17.04,False,False
2,1.9,64,8192,8192,300,1200,17.7705,2209.61,1884.15,4.6968,1155,+17.27,False,False
2,1.9,64,8192,8192,300,1305,17.7569,2186.99,1884.15,4.6968,1155,+16.07,False,False
2,1.9,64,8192,8192,300,1410,17.7455,2200.87,1884.15,4.6968,1155,+16.81,False,False
2,1.9,64,8192,8192,510,300,12.5602,2104.98,1884.15,4.6968,1155,+11.72,False,False
2,1.9,64,8192,8192,510,510,10.7685,1879.88,1884.15,4.6968,1155,-0.23,False,False
