clock,ctas,m,n,k,grid,waves,s_eff,occ_pct,clock_min,throttled,t_gemm_ms,t_comm_ms,t_serial_ms,t_conc_meas_ms,t_conc_pred_ms,err_t_pct,p_meas_w,p_model_measT_w,err_p_measT_pct,p_model_predT_w,err_p_predT_pct,speedup
510,2,1024,8192,8192,512,5,102.4,94.8,510,False,1.479,7.6092,9.0708,7.8016,7.6092,-2.47,97.71,101.27,3.64,102.37,4.77,1.1627
510,2,2048,8192,8192,512,5,102.4,94.8,510,False,2.7668,7.6092,10.3685,7.8875,7.6092,-3.53,113.18,116.48,2.91,118.63,4.81,1.3146
510,2,4096,8192,8192,1024,10,102.4,94.8,510,False,5.4748,7.6092,13.0443,8.079,7.6092,-5.82,141.96,147.28,3.75,152.81,7.65,1.6146
510,2,8192,8192,8192,2048,19,107.79,99.8,510,False,10.3696,7.6092,17.9216,11.0899,10.9154,-1.57,170.34,169.67,-0.39,171.46,0.66,1.616
510,2,1024,16384,16384,512,5,102.4,94.8,510,False,5.4104,7.6092,12.9785,8.0522,7.6092,-5.5,144.93,147.98,2.11,153.24,5.74,1.6118
510,2,2048,16384,16384,1024,10,102.4,94.8,510,False,10.7559,7.6092,18.3101,10.9544,10.7559,-1.81,170.78,171.77,0.58,173.87,1.81,1.6715
510,2,4096,16384,16384,2048,19,107.79,99.8,510,False,20.4027,7.6092,27.9495,21.6417,21.4765,-0.76,164.76,163.36,-0.85,164.18,-0.35,1.2915
510,2,8192,16384,16384,4096,38,107.79,99.8,510,False,40.7304,7.6092,48.27,41.9683,41.8022,-0.4,161.22,161.76,0.34,162.17,0.59,1.1502
300,2,1024,4096,4096,128,2,64.0,59.3,300,False,0.9993,12.558,13.5153,12.6267,12.558,-0.54,82.06,84.9,3.46,85.06,3.65,1.0704
300,2,2048,4096,4096,256,3,85.33,79.0,300,False,1.4665,12.558,13.979,12.6497,12.558,-0.72,84.31,87.51,3.8,87.74,4.07,1.1051
300,2,4096,4096,4096,512,5,102.4,94.8,300,False,2.4191,12.558,14.9448,12.6828,12.558,-0.98,89.38,92.76,3.78,93.12,4.18,1.1784
300,2,8192,4096,4096,1024,10,102.4,94.8,300,False,4.7723,12.558,17.2736,12.7647,12.558,-1.62,98.9,103.12,4.26,103.89,5.04,1.3532
300,2,1024,8192,8192,512,5,102.4,94.8,300,False,2.4687,12.558,14.9955,12.6971,12.558,-1.1,88.87,93.33,5.02,93.74,5.48,1.181
300,2,2048,8192,8192,512,5,102.4,94.8,300,False,4.6674,12.558,17.1675,12.7357,12.558,-1.4,98.47,103.49,5.1,104.16,5.77,1.348
300,2,4096,8192,8192,1024,10,102.4,94.8,300,False,9.2685,12.558,21.7556,12.8636,12.558,-2.38,117.84,124.29,5.48,125.95,6.88,1.6913
300,2,8192,8192,8192,2048,19,107.79,99.8,300,False,17.5806,12.558,30.0632,18.6639,18.5059,-0.85,131.13,132.27,0.87,132.92,1.36,1.6108
300,2,1024,16384,16384,512,5,102.4,94.8,300,False,9.1579,12.558,21.6473,12.8445,12.558,-2.23,118.38,124.66,5.3,126.21,6.62,1.6853
300,2,2048,16384,16384,1024,10,102.4,94.8,300,False,18.2448,12.558,30.7251,18.459,18.2448,-1.16,131.57,133.7,1.62,134.6,2.31,1.6645
300,2,4096,16384,16384,2048,19,107.79,99.8,300,False,34.6335,12.558,47.1133,36.6112,36.4563,-0.42,124.04,125.07,0.83,125.37,1.07,1.2869
300,2,8192,16384,16384,4096,38,107.79,99.8,300,False,69.1757,12.558,81.6449,71.1303,70.9962,-0.19,118.81,122.48,3.09,122.6,3.19,1.1478
1410,4,1024,4096,4096,128,2,64.0,59.3,1410,False,0.2366,1.6272,1.85,1.7384,1.6272,-6.4,153.0,160.79,5.09,165.95,8.46,1.0642
1410,4,2048,4096,4096,256,3,85.33,79.0,1410,False,0.3426,1.6272,1.9554,1.7584,1.6272,-7.47,182.59,195.91,7.29,204.82,12.18,1.112
1410,4,4096,4096,4096,512,5,102.4,94.8,1410,False,0.5786,1.6272,2.1548,1.7803,1.6272,-8.6,248.87,270.24,8.59,287.64,15.58,1.2104
1410,4,8192,4096,4096,1024,10,102.4,94.8,1410,False,1.1339,1.6272,2.6568,1.8703,1.6272,-13.0,371.04,398.05,7.28,444.77,19.87,1.4205
1410,4,1024,8192,8192,512,5,102.4,94.8,1410,False,0.5992,1.6272,2.1754,1.7861,1.6272,-8.9,255.54,278.91,9.14,297.81,16.54,1.218
1410,4,2048,8192,8192,512,5,102.4,94.8,1410,False,1.1108,1.6272,2.6468,1.8638,1.6272,-12.7,371.3,400.45,7.85,446.26,20.19,1.4201
1410,4,4096,8192,8192,1024,10,102.4,94.8,1260,True,2.1955,1.6272,3.644,2.5874,2.1955,-15.15,398.33,510.3,28.11,586.14,47.15,1.4083
1410,4,8192,8192,8192,2048,19,107.79,99.8,1215,True,4.2213,1.6272,5.6899,4.717,4.4435,-5.8,399.53,542.79,35.86,570.94,42.9,1.2063
1410,4,1024,16384,16384,512,5,102.4,94.8,1275,True,2.1901,1.6272,3.6246,2.7137,2.1901,-19.3,399.05,493.16,23.58,590.66,48.02,1.3357
1410,4,2048,16384,16384,1024,10,102.4,94.8,1230,True,4.3301,1.6272,5.8,4.6598,4.3301,-7.08,397.61,541.75,36.25,576.51,44.99,1.2447
1410,4,4096,16384,16384,2048,19,107.79,99.8,1200,True,8.3922,1.6272,9.9582,9.1345,8.8339,-3.29,398.99,552.27,38.42,568.15,42.4,1.0902
1410,4,8192,16384,16384,4096,38,107.79,99.8,1185,True,16.7321,1.6272,18.5373,17.8848,17.6127,-1.52,397.87,557.32,40.08,564.61,41.91,1.0365
