clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
510,8,8192,16384,4096,164.4,510,False,158.7,191.9,False,False,True,True
300,8,1024,4096,128,96.06,300,False,95.8,145.4,False,False,True,True
300,8,2048,4096,256,105.08,300,False,105.7,145.4,False,False,True,True
300,8,4096,4096,512,124.17,300,False,125.2,145.4,False,False,True,True
300,8,8192,4096,1024,129.88,300,False,124.0,145.4,False,False,True,True
300,8,1024,8192,512,124.46,300,False,126.8,147.4,False,False,True,True
300,8,2048,8192,512,125.99,300,False,120.7,147.4,False,False,True,True
300,8,4096,8192,1024,129.51,300,False,121.9,147.4,False,False,True,True
300,8,8192,8192,2048,126.81,300,False,120.0,147.4,False,False,True,True
300,8,1024,16384,512,126.74,300,False,117.1,148.5,False,False,True,True
300,8,2048,16384,1024,127.05,300,False,121.3,148.5,False,False,True,True
300,8,4096,16384,2048,121.32,300,False,118.9,148.5,False,False,True,True
300,8,8192,16384,4096,120.03,300,False,119.3,148.5,False,False,True,True
1410,16,1024,4096,128,227.59,1410,False,243.6,636.9,False,True,True,False
1410,16,2048,4096,256,309.28,1410,False,329.4,636.9,False,True,True,False
1410,16,4096,4096,512,392.41,1395,False,422.7,636.9,True,True,False,False
1410,16,8192,4096,1024,397.06,1305,True,485.9,636.9,True,True,True,True
1410,16,1024,8192,512,397.59,1365,True,433.1,648.7,True,True,True,True
1410,16,2048,8192,512,398.91,1305,True,472.2,648.7,True,True,True,True
1410,16,4096,8192,1024,398.17,1260,True,501.9,648.7,True,True,True,True
1410,16,8192,8192,2048,399.4,1215,True,538.9,648.7,True,True,True,True
1410,16,1024,16384,512,399.29,1290,True,484.3,653.1,True,True,True,True
1410,16,2048,16384,1024,398.72,1230,True,530.1,653.1,True,True,True,True
1410,16,4096,16384,2048,398.17,1200,True,546.3,653.1,True,True,True,True
1410,16,8192,16384,4096,397.6,1185,True,554.1,653.1,True,True,True,True
1200,16,1024,4096,128,179.42,1200,False,182.9,416.1,False,True,True,False
1200,16,2048,4096,256,230.72,1200,False,237.5,416.1,False,True,True,False
1200,16,4096,4096,512,276.25,1200,False,280.7,416.1,False,True,True,False
1200,16,8192,4096,1024,318.63,1200,False,317.3,416.1,False,True,True,False
1200,16,1024,8192,512,275.01,1200,False,287.9,424.3,False,True,True,False
1200,16,2048,8192,512,308.32,1200,False,307.2,424.3,False,True,True,False
1200,16,4096,8192,1024,332.35,1200,False,326.6,424.3,False,True,True,False
1200,16,8192,8192,2048,351.93,1200,False,350.7,424.3,False,True,True,False
1200,16,1024,16384,512,315.81,1200,False,311.1,429.3,False,True,True,False
1200,16,2048,16384,1024,357.14,1200,False,348.7,429.3,False,True,True,False
1200,16,4096,16384,2048,363.81,1200,False,357.5,429.3,False,True,True,False
1200,16,8192,16384,4096,376.49,1200,False,365.2,429.3,False,True,True,False
900,16,1024,4096,128,143.86,900,False,142.5,276.1,False,False,True,True
900,16,2048,4096,256,176.81,900,False,176.0,276.1,False,False,True,True
900,16,4096,4096,512,202.86,900,False,197.9,276.1,False,False,True,True
900,16,8192,4096,1024,222.88,900,False,214.5,276.1,False,False,True,True
900,16,1024,8192,512,202.49,900,False,203.3,282.4,False,False,True,True
900,16,2048,8192,512,216.09,900,False,209.0,282.4,False,False,True,True
900,16,4096,8192,1024,226.57,900,False,217.2,282.4,False,False,True,True
900,16,8192,8192,2048,239.97,900,False,229.5,282.4,False,False,True,True
900,16,1024,16384,512,218.77,900,False,206.9,284.6,False,False,True,True
900,16,2048,16384,1024,238.6,900,False,227.6,284.6,False,False,True,True
900,16,4096,16384,2048,247.37,900,False,230.8,284.6,False,False,True,True
900,16,8192,16384,4096,245.67,900,False,234.4,284.6,False,False,True,True
705,16,1024,4096,128,130.38,705,False,129.3,233.7,False,False,True,True
705,16,2048,4096,256,158.1,705,False,156.8,233.7,False,False,True,True
705,16,4096,4096,512,178.48,705,False,173.1,233.7,False,False,True,True
705,16,8192,4096,1024,195.5,705,False,184.3,233.7,False,False,True,True
705,16,1024,8192,512,177.95,705,False,177.4,238.4,False,False,True,True
705,16,2048,8192,512,187.01,705,False,178.9,238.4,False,False,True,True
705,16,4096,8192,1024,197.85,705,False,184.3,238.4,False,False,True,True
705,16,8192,8192,2048,202.59,705,False,193.1,238.4,False,False,True,True
705,16,1024,16384,512,187.45,705,False,176.3,240.7,False,False,True,True
705,16,2048,16384,1024,202.2,705,False,192.7,240.7,False,False,True,True
705,16,4096,16384,2048,208.24,705,False,194.0,240.7,False,False,True,True
