m,nk,ctas,ar_mib,tc_over_tg,E_Bmeas_mJ,E_Bmeas_ms,E_Bmeas_f,E_Bcomp_mJ,E_Bcomp_ms,E_C_mJ,E_C_ms,E_C_fg,E_C_fc,E_C_vs_Bmeas_pct,E_C_vs_Bcomp_pct,E_compbias_pct,T_Bmeas_mJ,T_Bmeas_ms,T_Bmeas_f,T_Bcomp_mJ,T_Bcomp_ms,T_C_mJ,T_C_ms,T_C_fg,T_C_fc,T_C_vs_Bmeas_pct,T_C_vs_Bcomp_pct,T_compbias_pct,EDP_Bmeas_mJ,EDP_Bmeas_ms,EDP_Bmeas_f,EDP_Bcomp_mJ,EDP_Bcomp_ms,EDP_C_mJ,EDP_C_ms,EDP_C_fg,EDP_C_fc,EDP_C_vs_Bmeas_pct,EDP_C_vs_Bcomp_pct,EDP_compbias_pct
8192,4096,4,64,1.4673,500.49,2.6585,900,485.94,2.3789,418.65,1.6272,900,1410,-16.35,-13.85,-2.91,539.15,2.1147,1200,522.46,1.8676,418.65,1.6272,900,1410,-22.35,-19.87,-3.1,539.15,2.1147,1200,522.46,1.8676,418.65,1.6272,900,1410,-22.35,-19.87,-3.1
8192,4096,8,64,0.8164,442.96,1.979,900,423.22,1.7536,414.6,1.7144,900,1410,-6.4,-2.04,-4.46,488.07,1.5354,1200,465.15,1.336,460.34,1.3224,1200,1410,-5.68,-1.03,-4.7,488.07,1.5354,1200,465.15,1.336,460.34,1.3224,1200,1410,-5.68,-1.03,-4.7
8192,4096,16,64,0.5254,435.18,1.9525,900,412.58,1.7916,411.11,1.757,900,1200,-5.53,-0.36,-5.19,484.86,1.5217,1200,456.55,1.3651,457.69,1.3534,1200,1410,-5.6,0.25,-5.84,484.86,1.5217,1200,456.55,1.3651,457.69,1.3534,1200,1410,-5.6,0.25,-5.84
8192,4096,32,64,0.4571,447.76,2.1059,900,417.73,1.9177,417.14,1.8544,900,1200,-6.84,-0.14,-6.71,495.14,1.6361,1200,460.99,1.4625,460.99,1.4625,1200,1200,-6.9,0.0,-6.9,495.14,1.6361,1200,460.99,1.4625,460.99,1.4625,1200,1200,-6.9,0.0,-6.9
8192,8192,1,64,1.5383,1842.03,9.8027,900,1805.21,9.0752,1529.57,6.2099,900,1410,-16.96,-15.27,-2.0,1971.99,7.671,1200,1943.18,6.9937,1816.61,6.0355,1200,1410,-7.88,-6.51,-1.46,1971.99,7.671,1200,1943.18,6.9937,1529.57,6.2099,900,1410,-22.44,-21.29,-1.46
8192,8192,2,64,0.7728,1555.88,6.3768,900,1515.49,6.1393,1465.94,6.0599,900,1410,-5.78,-3.27,-2.6,1716.99,4.8544,1200,1688.97,4.6314,1661.77,4.6064,1200,1410,-3.22,-1.61,-1.63,1716.99,4.8544,1200,1688.97,4.6314,1661.77,4.6064,1200,1410,-3.22,-1.61,-1.63
8192,8192,4,64,0.4033,1552.54,6.3867,900,1459.42,6.0246,1439.7,5.985,900,1410,-7.27,-1.35,-6.0,1727.04,4.8372,1200,1646.52,4.5442,1633.58,4.5315,1200,1410,-5.41,-0.79,-4.66,1727.04,4.8372,1200,1646.52,4.5442,1633.58,4.5315,1200,1410,-5.41,-0.79,-4.66
8192,8192,8,64,0.2244,1549.37,6.3849,900,1435.93,6.0387,1434.11,6.0116,900,1200,-7.44,-0.13,-7.32,1549.37,6.3849,900,1435.93,6.0387,1630.13,4.5852,1200,900,5.21,13.52,-7.32,1549.37,6.3849,900,1435.93,6.0387,1630.13,4.5852,1200,900,5.21,13.52,-7.32
8192,8192,16,64,0.1444,1528.27,6.3686,900,1425.41,6.0787,1425.41,6.0787,900,900,-6.73,0.0,-6.73,1528.27,6.3686,900,1425.41,6.0787,1622.39,4.6665,1200,705,6.16,13.82,-6.73,1528.27,6.3686,900,1425.41,6.0787,1622.39,4.6665,1200,705,6.16,13.82,-6.73
8192,8192,32,64,0.1256,1516.19,6.61,900,1430.97,6.2114,1430.97,6.2114,900,900,-5.62,0.0,-5.62,1516.19,6.61,900,1430.97,6.2114,1623.32,4.8278,1200,705,7.07,13.44,-5.62,1516.19,6.61,900,1430.97,6.2114,1623.32,4.8278,1200,705,7.07,13.44,-5.62
