pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
2,16,heavy,54,690,690,True,60131,60880,106540,36.30274,97.46,60.47,36.99,0.99275,1342.83833,10
2,32,light,54,690,690,True,1821,2080,1820,0.77588,113.3,60.47,52.83,1.41787,40.98997,479
2,32,heavy,54,690,690,True,60131,61824,54096,21.23033,106.26,60.47,45.79,1.22893,972.13679,17
2,64,light,54,690,690,True,1821,2432,1064,0.71859,109.64,60.47,49.17,1.31965,35.33305,500
2,64,heavy,54,690,690,True,60131,63552,27804,17.39846,102.76,60.47,42.29,1.135,735.78074,21
2,128,light,54,690,690,True,1821,3200,700,0.72493,108.06,60.47,47.59,1.27724,34.49943,500
2,128,heavy,54,690,690,True,60131,67072,14672,14.01211,105.71,60.47,45.24,1.21417,633.90805,26
2,16,light,54,1200,1200,True,1821,1936,3388,0.76319,146.8,67.8,79.0,1.21914,60.29202,485
2,16,heavy,54,1200,1200,True,60131,60880,106540,22.17831,139.33,67.8,71.53,1.10386,1586.41431,16
2,32,light,54,1200,1200,True,1821,2080,1820,0.48581,166.29,67.8,98.49,1.51991,47.84749,500
2,32,heavy,54,1200,1200,True,60131,61824,54096,12.9455,157.15,67.8,89.35,1.37886,1156.68012,28
2,64,light,54,1200,1200,True,1821,2432,1064,0.42524,162.96,67.8,95.16,1.46852,40.46625,500
2,64,heavy,54,1200,1200,True,60131,63552,27804,10.07592,151.93,67.8,84.13,1.2983,847.68718,37
2,128,light,54,1200,1200,True,1821,3200,700,0.42066,161.76,67.8,93.96,1.45,39.52566,500
2,128,heavy,54,1200,1200,True,60131,67072,14672,8.08498,161.6,67.8,93.8,1.44753,758.37137,46
2,16,light,54,990,990,True,1821,1936,3388,0.88804,120.35,62.5,57.85,1.08212,51.3733,417
2,16,heavy,54,990,990,True,60131,60880,106540,26.05108,113.9,62.5,51.4,0.96147,1339.02544,14
2,32,light,54,990,990,True,1821,2080,1820,0.56488,135.37,62.5,72.87,1.36308,41.1628,500
2,32,heavy,54,990,990,True,60131,61824,54096,15.23683,126.25,62.5,63.75,1.19248,971.34805,24
2,64,light,54,990,990,True,1821,2432,1064,0.50694,131.55,62.5,69.05,1.29162,35.00408,500
2,64,heavy,54,990,990,True,60131,63552,27804,12.16877,122.43,62.5,59.93,1.12103,729.27409,30
2,128,light,54,990,990,True,1821,3200,700,0.50777,130.07,62.5,67.57,1.26394,34.31001,500
2,128,heavy,54,990,990,True,60131,67072,14672,9.78719,128.0,62.5,65.5,1.22522,641.06111,38
2,16,light,54,870,870,True,1821,1936,3388,0.98307,114.23,61.62,52.61,1.11984,51.71934,378
2,16,heavy,54,870,870,True,60131,60880,106540,29.03248,107.73,61.62,46.11,0.98148,1338.68782,12
