m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
4096,16384,16384,300,27,2199.023,143.99590047200522,69.81372727272725,10.053,15271.4,False
4096,16384,16384,300,54,2199.023,69.14201354980469,81.08354545454546,5.606,31804.4,False
4096,16384,16384,300,81,2199.023,47.315287272135414,92.99654545454547,4.4,46476.0,False
4096,16384,16384,300,108,2199.023,34.62058766682943,103.05236363636364,3.568,63517.8,False
4096,16384,16384,510,14,2199.023,183.32928466796875,68.43645454545457,12.546,11994.9,False
4096,16384,16384,510,27,2199.023,84.72336832682292,82.65109090909091,7.002,25955.3,False
4096,16384,16384,510,54,2199.023,40.68488566080729,102.03745454545455,4.151,54050.1,False
4096,16384,16384,510,81,2199.023,27.843584696451824,110.99318181818181,3.09,78977.7,False
4096,16384,16384,510,108,2199.023,20.37623469034831,144.8723,2.952,107921.0,False
4096,16384,16384,705,14,2199.023,132.65851847330728,75.60427272727271,10.03,16576.6,False
4096,16384,16384,705,27,2199.023,61.306365966796875,94.69845454545454,5.806,35869.4,False
4096,16384,16384,705,54,2199.023,29.436075846354168,117.67269999999999,3.464,74705.0,False
4096,16384,16384,705,81,2199.023,20.149247487386067,144.6201818181818,2.914,109136.7,False
4096,16384,16384,705,108,2199.023,14.748330434163412,178.0456363636364,2.626,149103.2,False
4096,16384,16384,900,14,2199.023,103.9470926920573,82.7548181818182,8.602,21155.2,False
4096,16384,16384,900,27,2199.023,48.03840128580729,107.76254545454545,5.177,45776.4,False
4096,16384,16384,900,54,2199.023,23.067476908365887,140.96790909090907,3.252,95330.0,False
4096,16384,16384,900,81,2199.023,15.791615804036459,177.4716,2.803,139252.6,False
4096,16384,16384,900,108,2199.023,11.553109486897787,216.175,2.497,190340.4,False
4096,16384,16384,1200,14,2199.023,77.97811381022136,108.65981818181818,8.473,28200.5,False
4096,16384,16384,1200,27,2199.023,36.03268178304037,146.27772727272725,5.271,61028.6,False
4096,16384,16384,1200,54,2199.023,17.30406443277995,211.179,3.654,127081.3,False
4096,16384,16384,1200,81,2199.023,11.849386850992838,263.3753,3.121,185581.2,False
4096,16384,16384,1200,108,2199.023,8.68130111694336,344.32150000000007,2.989,253305.7,False
4096,16384,16384,1410,14,2199.023,66.38728332519531,151.82363636363633,10.079,33124.2,False
4096,16384,16384,1410,27,2199.023,30.689961751302082,224.37927272727268,6.886,71652.9,False
